id,name,text,trans
3016008030010,千雪,（短い歩幅で……）,(좁은 보폭으로...)
3016008030020,千雪,（地面に向かって、まっすぐに足を下ろして……）,(지면을 향해서 곧게 다리를 내리고...)
3016008030030,千雪,（……ペンギンみたいに……！）,(펭귄 처럼...!)
3016008030040,千雪,…………ふぅ……！,후우...!
3016008030050,千雪,"（かまくら……
飾りも取れてないし、ちゃんと昨日と同じ、綺麗なまま）","(눈집...
장식도 떨어지지 않았고, 제대로 어제와 같이 예쁜 그대로)"
3016008030060,千雪,（よかった……）,(다행이다...)
3016008030070,千雪,"……あ……
……ふふっ","아...
후훗"
3016008030080,千雪,（甜花ちゃんの雪だるま、本当に可愛い……）,"(텐카쨩의 눈사람, 정말 귀여워...)"
3016008030090,千雪,"（甘奈ちゃんの電飾も……
夜になったら、きっとすーっごく綺麗なの）","(아마나쨩의 장식용 전구도...
밤이 되면 분명 굉장히 예쁠거야)"
3016008030100,千雪,……うん,응
3016008030110,千雪,これは、アルストロメリアのかまくら……！,"이건, 알스트로메리아의 눈집...!"
3016008030120,千雪,…………,......
3016008030130,千雪,（…………中、入ってもいいかな……？）,(안에 들어가도 되려나...?)
3016008030140,千雪,"………………ちょっとだけなら……
……大丈夫よね……","잠깐이라면...
괜찮겠지..."
3016008030150,千雪,（スタッフさんも、いいって言ってくれてたし……）,(스태프분들도 괜찮다고 말했고...)
3016008030160,千雪,（寒くないように、ブランケットも持ってきてるし……）,(춥지 않게 담요도 가져왔고...)
3016008030170,千雪,（……うん、ちょっとだけ……）,"(... 응, 잠깐만...)"
3016008030180,千雪,お、お邪魔しまーす……,"시, 실례합니다..."
3016008030190,甘奈,いらっしゃい、千雪さんっ！,어서와 치유키씨!
3016008030200,千雪,"わ……っ！
甘奈ちゃん……！？","와...앗!
아마나쨩...!?"
3016008030210,甘奈,"あ、ごめんね千雪さん
驚かせちゃった……！？","아, 미안해 치유키씨
놀라게 했나...!?"
3016008030220,千雪,"う、ううん……！
甘奈ちゃんもいたのね……！","아, 아니...!
아마나쨩도 있었구나...!"
3016008030230,甘奈,"えへへ……
みんなのかまくら、どんなかな～って気になっちゃって……","에헤헤...
모두의 눈집, 어떻게 됐을까~ 신경쓰여서..."
3016008030240,甘奈,"そしたら千雪さんが来て……
タイミングみて声かけようとしてたんだ","그러자 치유키씨가 와서...
타이밍 봐서 말 걸려고 했었어"
3016008030250,千雪,そうだったんだ……,그랬구나...
3016008030260,甘奈,"ほら、千雪さんも中に入ろう！
かまくらの中って、結構あったかいよ！","자, 치유키씨도 안에 들어가자!
눈집 안은 꽤 따뜻해!"
3016008030270,千雪,うん……！,응...!
3016008030280,千雪,"本当……
雪に囲まれてるのに、外よりあったかい……！","정말...
눈에 둘러 쌓여있는데도 밖보다 따뜻해...!"
3016008030290,甘奈,"うん！
シートが敷いてあるから座れるし……","응!
시트도 깔려있으니까 앉을 수 있고..."
3016008030300,甘奈,"お菓子とか持ってくると、
ずーっといられちゃうんだよね～☆","과자 같은걸 가져오면
계~속 있을 수도 있겠네~☆"
3016008030310,千雪,"わあ……！
ふふ、真っ白な秘密基地ね","와아...!
후후, 새하얀 비밀기지네"
3016008030320,甘奈,"それいい！
甘奈たちの、真っ白な秘密基地……！","그거 좋네!
우리들의 새하얀 비밀기지...!"
3016008030330,？？？,──ふぎゅ！,으규!
3016008030331,甘奈＆千雪,！？,!?
3016008030340,甜花,あ、あたた……,"아, 아파라..."
3016008030350,甘奈,甜花ちゃん、大丈夫！？,"텐카쨩, 괜찮아!?"
3016008030360,甜花,"な、なーちゃん……？　千雪さんも……！？
な、なんで……！？","나, 나쨩...? 치유키씨도...!?
어, 어째서...!?"
3016008030370,千雪,"ふふっ、なんでだろう……
かまくらを見に来たら、出会ったの！","후훗, 어째서일까...
눈집을 보러 왔더니, 만났어!"
3016008030380,千雪,甜花ちゃんは……,텐카쨩은...
3016008030390,甜花,"え、えと……雪国、限定……
レアモンスター……探しに……","그, 그게... 눈의 나라, 한정...
레어 몬스터... 찾으러..."
3016008030400,甜花,"そ、それで……せっかく外、出たから……
かまくら……デビだるま、増殖……","그, 그래서... 모처럼 밖에, 나왔으니까...
눈집... 데비눈사람, 증식시키러..."
3016008030410,甜花,"なーちゃんと、千雪さん……スタッフさんも……
びっくりするかなって……","나쨩하고 치유키씨... 스태프분들도...
깜짝 놀래지 않을까 해서..."
3016008030420,甘奈,そうだったんだ……,그랬던거구나...
3016008030430,甜花,"……な、中……
どうだった……？","아, 안에는...
어땠어...?"
3016008030431,甘奈＆千雪,…………,......
3016008030432,甘奈＆千雪,いらっしゃい、甜花ちゃん！,"어서와, 텐카쨩!"
3016008030440,千雪,…………ふふっ,후훗......
3016008030450,甘奈,千雪さん、どうしたの？,"치유키씨, 왜 그래?"
3016008030460,千雪,あ、ううん、なんでもないの……,"아, 아니, 아무것도 아냐..."
3016008030470,千雪,"こんな、
雪でいーっぱいの場所で──","이런
눈이 잔뜩 있는 장소에서"
3016008030480,千雪,"ふふっ、おかしいね
あったかいなぁって……","후훗, 신기하네
따듯하다고 생각하는건..."
3016008030490,甘奈,"そっか……
うん、あったかいね……","그런가...
응, 따듯하네..."
3016008030500,甘奈,甘奈たちの、秘密基地……,우리들의 비밀기지...
3016008030510,甜花,秘密基地……！,비밀기지...!
3016008030520,甜花,"……な、なーちゃん、千雪さん……！
実は、甜花……お菓子、持ってる……！","나, 나쨩, 치유키씨...!
실은, 텐카... 과자, 가져왔어...!"
3016008030530,甜花,"外、歩いて……
お腹、空いちゃったらって……","밖, 걸으면서...
배가 고파지면 먹으려고..."
3016008030540,甜花,"秘密基地、だから……
３人で、秘密だから……","비밀기지, 니까...
세사람의 비밀기지니까..."
3016008030550,甜花,どう……？,어때...?
3016008030551,甘奈＆千雪,…………,......
3016008030560,千雪,……ふふっ,후훗
3016008030561,甘奈＆千雪,いただきます、甜花ちゃん！,"잘먹겠습니다, 텐카쨩!"
info,produce_events/301600803.json,
译者,,
