id,name,text,trans
0000000000000,校内放送,"『八宮めぐるさんがオニに捕まりました』
『ここで脱落です』","『하치미야 메구루씨가 술래에게 잡혔습니다』
『여기에서 탈락입니다』"
0000000000000,プロデューサー,（めぐる……！）,(메구루......!)
4001018030001,真乃＆灯織,…………,......
4001018030010,灯織,めぐるは捕まっちゃったけど……,메구루는 붙잡혔지만......
4001018030020,灯織,"まだ終わってないよね
『宝物』は私たちの手にある","아직 끝나지 않았지
『보물』은 아직 우리들한테 있고"
4001018030030,真乃,うん……,응......
4001018030040,灯織,このままオニゴッコを続けることはできる……,이대로 술래잡기를 계속 할 수 있어......
4001018030050,真乃,うん……だけど……,응...... 그래도......
4001018030060,灯織,……３人で逃げ切って、後夜祭を迎えたい,"3명이서 달아나서, 후야제를 맞이하고 싶어"
4001018030070,灯織,めぐるをオニから取り戻そう,메구루를 술래로부터 되찾자
4001018030080,灯織,……いいよね？,괜찮지......?
4001018030090,真乃,"──うんっ
もちろんだよ、灯織ちゃんっ","응
물론이야 히오리짱"
4001018030100,灯織,スタッフさん、これルール違反じゃないですよね,"스태프씨, 이거 룰 위반 아니죠?"
0000000000000,カンペ,『大丈夫です！』,『괜찮습니다!』
4001018030110,灯織,"よかった、ありがとうございます
じゃあ、めぐるはどこに……？","다행이다, 감사합니다
그러면, 메구루는 어디에......?"
0000000000000,カンペ,『それは教えられません！』,『그건 알려 줄 수 없어요』
0000000000000,スタッフ,──はい、カメラ追いかけて！　ゴー！,"네, 카메라를 뒤쫓아서! 고!"
0000000000000,スタッフ,"八宮さんを発見したら新しいミッション解放だよ！
準備急いで──！","하치미야씨를 발견하면 새로운 미션 해방이야!
준비 빨리 하자고!"
0000000000000,校内放送,"『スペシャルラジオの途中ですが、
ふたたび緊急のニュースです』","『스페셜 라디오 중이지만
다시 긴급 뉴스 입니다』"
0000000000000,校内放送,"『イルミネーションスターズの真乃さんと灯織さんから
生徒とご来場のみなさまへ──』","『일루미네이션 스타즈 마노씨와 히오리씨로부터
학생분들과 내빈분들에게』"
4001018030120,灯織,"『私たちのメンバー、八宮めぐるが、
オニに捕まってしまいました』","『저희들의 멤버, 하치미야 메구루가
술래에게 잡혀버렸습니다』"
4001018030130,灯織,"『見かけた方は、どうか
ご連絡いただけないでしょうか……！』","『보신 분은 부디
연락 주시지 않으시겠어요......!』"
4001018030140,真乃,『髪をふたつに結んでいる子です……っ』,『머리를 두갈래로 묶은 아이 입니다......』
4001018030150,真乃,校長室……っ,교장실......
4001018030160,灯織,"そこがオニの拠点かも……なんですね！
ありがとうございます……！","거기가 술래의 거점일수도 모르는거네요......!
감사합니다......!"
4001018030170,灯織,何かお礼を……えっと……,뭔가 보답을...... 그게......
4001018030180,灯織,"サインでいいんですか？
もちろん、喜んで！","사인으로 괜찮으신가요?
물론이죠!"
4001018030190,灯織,────はい、真乃も,"자, 마노도"
4001018030200,真乃,"……ここのスペースはめぐるちゃんの分です
またあとで書かせてください……っ","이쪽 공간은 메구루짱 사인 자리에요
나중에 적을 수 있게 해주세요......"
4001018030210,真乃,じゃあ、すぐに校長室がどこにあるか調べるねっ,"그러면, 바로 교장실이 어디있는지 알아볼게"
4001018030220,灯織,待って、真乃は来ないで,"잠깐만, 마노는 오지 마"
4001018030230,真乃,！,!
4001018030240,灯織,"あっ、ごめん……
そうじゃなくて──","아, 미안......
그런게 아니라"
4001018030250,灯織,"真乃は別の場所に逃げて、
『宝物』を守ってほしい","마노는 다른쪽으로 도망쳐서
『보물』을 지켜줬으면 좋겠어"
4001018030260,灯織,"オニの拠点に踏み込むわけだから危険性はゼロじゃない
だからもしもの時のために……","술래의 거점으로 가는거니까 위험성은 제로가 아니야
그러니까 혹시나를 위해서.."
4001018030270,真乃,……,......
4001018030280,真乃,"うん……っ
わかったよ、灯織ちゃん……っ","응......
알겠어 히오리짱"
4001018030290,灯織,本当は真乃だって行きたいよね、ごめん……,"사실은 마노도 가고싶지, 미안......"
4001018030300,真乃,"灯織ちゃんの作戦だもん
３人で勝つために、みんなで頑張らなくちゃっ","히오리짱의 작전인걸
3명이서 이기기 위해 함께 힘내야지"
4001018030310,灯織,うん……,응......
4001018030320,灯織,"……めぐるを取り返したら、
次は動物ふれあい広場ね","메구루를 돌려받으면
다음은 동물 교류 광장이네"
4001018030330,真乃,ほわ……っ,호와......
4001018030340,灯織,きっとピーちゃんみたいな鳥もいる……！,분명히 피짱 같은 새도 잇을거야......!
4001018030350,真乃,ふふっ……,후훗......
4001018030360,真乃,あのねっ……,저기말이야......
4001018030370,真乃,"ふたりとたくさんランニングしたおかげで、
前より走れるようになった気がするから、頑張る……っ","두사람과 잔뜩 런닝 한 덕분에
전보다 더 많이 뛸 수 있는거 같으니까, 힘내......"
4001018030380,灯織,ん……,응......
4001018030390,灯織,そうだね、私も……！,"그렇네, 나도......!"
4001018030400,灯織,…………,......
4001018030410,灯織,誰もいない……？,아무도 없어......?
4001018030420,灯織,………………,......
4001018030430,灯織,めぐるー……,메구루~
4001018030440,灯織,！,!
4001018030450,灯織,めぐる……？　いるの……！？,메구루......? 있어......!?
4001018030460,灯織,"あ……もしかしてロッカーの中……？
今、開けるから……！！","아...... 혹시 로커 안에......?
지금 열어줄 테니까......!!"
4001018030470,灯織,ど、どうしたの？,"무, 무슨 일이야?"
4001018030480,灯織,"めぐる……だよね？
え、もしかして……","메구루......지?
어, 설마......"
4001018030490,灯織,…………,......
4001018030500,灯織,ううん！　開ける──！！,아니야! 열게!!
4001018030510,灯織,っ……！,어......!
4001018030520,灯織,めぐる……！,메구루......!
4001018030530,灯織,"良かった……！
大丈夫？　立てる？","다행이다......!
괜찮아? 설 수 있겠어?"
4001018030540,灯織,"捕まった時にケガとかしてない？
オニが来る前に早く逃げないと…………","잡혔을때 상처 입지 않았어?
술래가 오기 전에 빨리 도망가야......"
4001018030550,灯織,……めぐる……？,메구루......?
4001018030560,めぐる,"ごめん、灯織……
わたしもまだ気持ちの整理が追いつかないんだけど……","미안, 히오리......
나도 아직 마음 정리가 잘 안되는데......"
4001018030570,めぐる,なんかオニになっちゃったみたいで……ごめん,왠지 술래가 된거 같아서...... 미안
4001018030580,灯織,えっ,어
4001018030590,灯織,"えっ、えっ
この番組、そういうルールなの……？","어, 어
이 방송, 그런 룰인거야......?"
0000000000000,カンペ,『スペシャルルールです！』,『스페셜 룰입니다!』
4001018030600,めぐる,"うーんうーん
わたしは灯織を捕まえるなんて嫌なんだけど……","끄......응......
나는 히오리를 잡는 거 싫은데......"
4001018030610,めぐる,でも……,그래도......
4001018030620,灯織,ちょ、ちょっと待って！,"자, 잠깐만!"
4001018030630,めぐる,！,!
4001018030640,灯織,めぐるに捕まっても脱落ってこと……！？,메구루한테 잡혀도 탈락이라는거......?
0000000000000,カンペ,『八宮さんもオニなので、そうです！』,『하치미야씨도 술래니까 그렇습니다!』
4001018030641,灯織＆めぐる,…………,......
4001018030642,灯織＆めぐる,えっと……,그게......
4001018030650,めぐる,10秒！　10秒経ったら追いかけるから！,10초! 10초 지나면 쫓아갈 테니까!
4001018030660,灯織,めぐる……,메구루......
4001018030670,めぐる,10、９……早く行って！　８、７……,"10, 9...... 빨리 가! 8, 7......"
4001018030680,灯織,ええ……他に方法は……,어어...... 다른 방법은......
4001018030690,めぐる,そういうゲームなんだから！,그런 게임이니까!
4001018030700,めぐる,"もう一回だよ！
10、９、８……","다시 한 번 셀게!
10, 9, 8......"
4001018030710,灯織,カウント巻き戻ったけど……,카운트 돌아왔는데......
4001018030720,めぐる,"灯織！
10、９、８……","히오리!
10, 9, 8......"
4001018030730,灯織,っ……,읏......
info,game_event_communications/400101803.json,
译者,,
